Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,Year
Oakland Athletics,3.87,,60,2164,1964,232,471,85,3,69,23,10,165,506,.240,.302,.392,.693,.286,769,29,15,4,15,6,12,2020
Philadelphia Phillies,5.18,,60,2197,1971,311,550,117,8,80,23,7,185,532,.279,.348,.468,.816,.344,923,46,28,4,9,12,13,2020
Pittsburgh Pirates,4.97,,60,2227,1918,298,451,100,3,80,27,13,249,536,.235,.332,.416,.747,.281,797,40,37,2,18,3,17,2020
San Diego Padres,4.02,,60,2160,1952,241,456,81,6,70,23,12,170,565,.234,.301,.389,.689,.290,759,41,22,4,12,2,10,2020
Seattle Mariners,5.05,,60,2249,1966,303,482,97,10,79,44,5,230,469,.245,.333,.425,.758,.281,836,41,37,0,15,7,14,2020
San Francisco Giants,4.95,,60,2240,1968,297,474,97,14,69,36,13,210,488,.241,.322,.410,.731,.283,806,37,34,5,19,2,22,2020
St. Louis Cardinals,3.95,,58,1989,1739,229,376,70,4,69,8,7,204,464,.216,.306,.380,.686,.252,661,41,26,3,14,8,19,2020
Tampa Bay Rays,3.82,,60,2212,1995,229,475,83,6,70,27,13,168,552,.238,.305,.391,.696,.293,780,43,29,9,10,4,15,2020
Texas Rangers,5.20,,60,2273,1981,312,479,83,13,81,27,7,236,489,.242,.329,.419,.749,.279,831,34,30,8,17,3,21,2020
Toronto Blue Jays,5.20,,60,2309,2027,312,517,105,9,81,32,10,250,519,.255,.339,.436,.775,.303,883,42,14,6,12,7,18,2020
Washington Nationals,5.02,,60,2273,2025,301,548,101,6,94,46,9,216,508,.271,.346,.466,.812,.317,943,40,22,3,7,22,24,2020
League Average,4.65,,60,2217,1968,278,481,94,8,77,30,10,203,520,.245,.322,.418,.740,.292,822,41,27,4,13,7,17,2020
Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,2020
,4.65,,1796,66506,59030,8344,14439,2823,241,2304,885,292,6092,15586,.245,.322,.418,.740,.292,24656,1237,821,126,402,202,516,2020
Arizona Diamondbacks,5.51,,162,6270,5546,893,1480,327,45,232,73,29,555,1238,.267,.339,.468,.807,.303,2593,97,75,44,47,45,51,2021
Atlanta Braves,4.07,,161,5944,5279,656,1237,243,21,183,74,23,516,1417,.234,.308,.392,.700,.283,2071,99,66,39,42,34,27,2021
Baltimore Orioles,5.90,,162,6252,5562,956,1518,291,24,258,53,27,563,1234,.273,.344,.473,.817,.306,2631,89,68,13,46,12,36,2021
Boston Red Sox,4.62,,162,6147,5470,749,1409,306,20,176,92,22,546,1527,.258,.332,.417,.749,.324,2283,120,79,12,40,31,46,2021
Chicago Cubs,5.18,,162,6202,5431,839,1386,283,14,235,93,21,596,1358,.255,.338,.442,.780,.297,2402,129,98,37,36,25,51,2021
Chicago White Sox,3.93,,162,5861,5260,636,1205,199,26,182,119,24,485,1588,.229,.298,.381,.679,.289,2002,100,51,15,44,16,37,2021
Cincinnati Reds,4.69,,162,6199,5440,760,1330,261,30,206,77,25,617,1524,.244,.327,.417,.744,.300,2269,106,64,41,35,30,38,2021
Cleveland Indians,4.49,,162,5968,5337,727,1281,266,16,216,63,23,522,1391,.240,.313,.417,.730,.283,2227,123,59,15,32,12,37,2021
Colorado Rockies,4.94,,161,6044,5377,796,1397,291,31,196,65,27,539,1269,.260,.332,.435,.767,.304,2338,127,63,28,36,19,35,2021
Detroit Tigers,4.67,,162,6164,5447,756,1370,259,28,199,67,32,571,1259,.252,.329,.419,.748,.290,2282,119,82,15,47,10,40,2021
Houston Astros,4.06,,162,6060,5389,658,1231,236,14,187,56,26,549,1456,.228,.306,.382,.688,.276,2056,107,70,21,31,12,34,2021
Kansas City Royals,4.86,,162,6127,5414,788,1375,259,24,189,41,24,591,1344,.254,.332,.415,.747,.302,2249,130,62,9,50,16,45,2021
Los Angeles Angels,4.96,,162,6196,5475,804,1373,283,13,188,85,18,592,1453,.251,.330,.410,.740,.306,2246,119,76,13,38,18,43,2021
Los Angeles Dodgers,3.46,,162,5948,5335,561,1107,227,9,161,108,34,486,1599,.207,.280,.344,.624,.263,1835,84,63,36,24,43,54,2021
Miami Marlins,4.33,,162,6027,5330,701,1282,305,31,162,61,23,529,1381,.241,.317,.401,.718,.292,2135,125,88,35,44,43,68,2021
Milwaukee Brewers,3.85,,162,5990,5300,623,1156,200,18,168,91,30,537,1618,.218,.298,.358,.655,.278,1896,92,77,39,34,19,43,2021
Minnesota Twins,5.15,,162,6080,5460,834,1392,301,22,239,80,26,484,1317,.255,.320,.449,.769,.292,2454,113,62,21,50,13,49,2021
New York Mets,4.12,,162,5785,5175,668,1221,240,19,190,66,33,475,1453,.236,.307,.400,.707,.289,2069,107,70,27,33,21,40,2021
New York Yankees,4.13,,162,5999,5386,669,1243,232,15,196,86,17,492,1569,.231,.299,.389,.688,.286,2093,99,56,16,46,10,39,2021
Oakland Athletics,4.24,,162,6060,5508,687,1362,247,18,191,65,22,439,1332,.247,.309,.403,.711,.292,2218,102,64,17,29,11,27,2021
Philadelphia Phillies,4.60,,162,6055,5418,745,1321,265,28,200,51,15,509,1480,.244,.316,.414,.730,.298,2242,124,75,34,19,37,54,2021
Pittsburgh Pirates,5.14,,162,6140,5379,833,1400,298,32,213,66,19,606,1312,.260,.341,.446,.787,.304,2401,121,78,29,48,26,32,2021
San Diego Padres,4.37,,162,6056,5380,708,1277,273,21,205,88,18,516,1517,.237,.312,.410,.722,.290,2207,123,87,33,39,33,41,2021
Seattle Mariners,4.62,,162,6106,5490,748,1356,288,26,197,91,17,485,1328,.247,.314,.417,.730,.289,2287,120,69,17,42,23,32,2021
San Francisco Giants,3.67,,162,6002,5452,594,1254,239,29,151,53,20,416,1425,.230,.291,.368,.658,.282,2004,106,63,36,32,20,49,2021
St. Louis Cardinals,4.15,,162,6046,5281,672,1234,252,17,152,43,23,608,1225,.234,.320,.374,.695,.274,1976,113,85,33,39,30,33,2021
Tampa Bay Rays,4.02,,162,5998,5454,651,1264,244,23,184,69,22,436,1478,.232,.294,.386,.680,.282,2106,110,55,19,34,27,38,2021
Texas Rangers,5.03,,162,6103,5468,815,1402,249,19,232,74,17,513,1239,.256,.325,.436,.761,.290,2385,120,61,17,41,11,38,2021
Toronto Blue Jays,4.09,,162,5916,5337,663,1257,248,19,209,73,22,473,1468,.236,.305,.407,.712,.284,2170,108,75,7,24,10,50,2021
Washington Nationals,5.06,,162,6073,5361,820,1364,251,19,247,90,32,548,1346,.254,.329,.447,.776,.293,2394,96,71,48,41,46,53,2021
League Average,4.53,,162,6061,5398,734,1316,262,22,198,74,24,526,1405,.244,.317,.411,.728,.292,2217,111,70,26,38,23,42,2021
Tm,RA/G,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE,2021
,4.53,,4858,181818,161941,22010,39484,7863,671,5944,2213,711,15794,42145,.244,.317,.411,.728,.292,66521,3328,2112,766,1143,703,1260,2021
Arizona Diamondbacks,4.57,,162,6065,5445,740,1345,290,22,191,84,32,504,1216,.247,.315,.414,.729,.283,2252,107,59,13,40,18,37,2022
Atlanta Braves,3.76,,162,6031,5413,609,1224,218,16,148,82,22,500,1554,.226,.297,.354,.651,.286,1918,99,62,9,46,21,31,2022
Baltimore Orioles,4.25,,162,6058,5490,688,1406,289,14,171,52,24,443,1214,.256,.317,.407,.724,.297,2236,134,64,8,47,8,43,2022
Boston Red Sox,4.86,,162,6167,5517,787,1411,292,27,185,102,28,526,1346,.256,.326,.419,.745,.304,2312,116,72,7,45,17,35,2022
Chicago Cubs,4.51,,162,6162,5506,731,1342,257,29,207,77,32,540,1383,.244,.318,.414,.731,.287,2278,119,73,5,35,19,44,2022
Chicago White Sox,4.43,,162,6145,5498,717,1330,264,18,166,96,26,533,1450,.242,.312,.387,.699,.296,2128,101,51,14,47,15,44,2022
Cincinnati Reds,5.03,,162,6220,5439,815,1366,284,23,213,122,31,612,1414,.251,.336,.429,.766,.299,2335,98,110,11,47,21,22,2022
Cleveland Guardians,3.91,,162,5989,5447,634,1252,246,10,172,94,29,435,1390,.230,.292,.373,.665,.275,2034,107,57,14,36,14,43,2022
Colorado Rockies,5.39,,162,6240,5569,873,1516,326,46,184,101,28,539,1187,.272,.340,.446,.786,.313,2486,134,59,12,59,12,37,2022
Detroit Tigers,4.40,,162,6047,5405,713,1336,237,26,167,79,33,511,1195,.247,.316,.393,.709,.285,2126,122,57,17,56,9,49,2022
Houston Astros,3.20,,162,5856,5295,518,1121,204,16,134,76,23,458,1524,.212,.281,.332,.613,.269,1759,110,60,13,30,6,30,2022
