W,Year,G,Team,League
91,2019,162,STL,NL
89,2019,162,MIL,NL
84,2019,162,CHC,NL
75,2019,162,CIN,NL
69,2019,162,PIT,NL
106,2019,162,LAD,NL
85,2019,162,ARI,NL
77,2019,162,SFG,NL
71,2019,162,COL,NL
70,2019,162,SDP,NL
40,2020,60,TBR,AL
33,2020,60,NYY,AL
32,2020,60,TOR,AL
25,2020,60,BAL,AL
24,2020,60,BOS,AL
36,2020,60,MIN,AL
35,2020,60,CLE,AL
35,2020,60,CHW,AL
26,2020,60,KCR,AL
23,2020,58,DET,AL
36,2020,60,OAK,AL
29,2020,60,HOU,AL
27,2020,60,SEA,AL
26,2020,60,LAA,AL
22,2020,60,TEX,AL
35,2020,60,ATL,NL
31,2020,60,MIA,NL
28,2020,60,PHI,NL
26,2020,60,NYM,NL
26,2020,60,WSN,NL
34,2020,60,CHC,NL
30,2020,58,STL,NL
31,2020,60,CIN,NL
29,2020,60,MIL,NL
19,2020,60,PIT,NL
43,2020,60,LAD,NL
37,2020,60,SDP,NL
29,2020,60,SFG,NL
26,2020,60,COL,NL
25,2020,60,ARI,NL
100,2021,162,TBR,AL
92,2021,162,BOS,AL
92,2021,162,NYY,AL
91,2021,162,TOR,AL
52,2021,162,BAL,AL
93,2021,162,CHW,AL
80,2021,162,CLE,AL
77,2021,162,DET,AL
74,2021,162,KCR,AL
73,2021,162,MIN,AL
95,2021,162,HOU,AL
90,2021,162,SEA,AL
86,2021,162,OAK,AL
77,2021,162,LAA,AL
60,2021,162,TEX,AL
88,2021,161,ATL,NL
82,2021,162,PHI,NL
77,2021,162,NYM,NL
67,2021,162,MIA,NL
65,2021,162,WSN,NL
95,2021,162,MIL,NL
90,2021,162,STL,NL
83,2021,162,CIN,NL
71,2021,162,CHC,NL
61,2021,162,PIT,NL
107,2021,162,SFG,NL
106,2021,162,LAD,NL
79,2021,162,SDP,NL
74,2021,161,COL,NL
52,2021,162,ARI,NL
99,2022,162,NYY,AL
92,2022,162,TOR,AL
86,2022,162,TBR,AL
83,2022,162,BAL,AL
78,2022,162,BOS,AL
92,2022,162,CLE,AL
81,2022,162,CHW,AL
78,2022,162,MIN,AL
66,2022,162,DET,AL
65,2022,162,KCR,AL
106,2022,162,HOU,AL
90,2022,162,SEA,AL
73,2022,162,LAA,AL
68,2022,162,TEX,AL
60,2022,162,OAK,AL
101,2022,162,ATL,NL
101,2022,162,NYM,NL
87,2022,162,PHI,NL
69,2022,162,MIA,NL
55,2022,162,WSN,NL
93,2022,162,STL,NL
86,2022,162,MIL,NL
74,2022,162,CHC,NL
62,2022,162,CIN,NL
62,2022,162,PIT,NL
111,2022,162,LAD,NL
89,2022,162,SDP,NL
81,2022,162,SFG,NL
74,2022,162,ARI,NL
68,2022,162,COL,NL
101,2023,162,BAL,AL
99,2023,162,TBR,AL
89,2023,162,TOR,AL
82,2023,162,NYY,AL
78,2023,162,BOS,AL
87,2023,162,MIN,AL
78,2023,162,DET,AL
76,2023,162,CLE,AL
61,2023,162,CHW,AL
56,2023,162,KCR,AL
90,2023,162,HOU,AL
90,2023,162,TEX,AL
88,2023,162,SEA,AL
73,2023,162,LAA,AL
50,2023,162,OAK,AL
104,2023,162,ATL,NL
90,2023,162,PHI,NL
84,2023,162,MIA,NL
75,2023,162,NYM,NL
71,2023,162,WSN,NL
92,2023,162,MIL,NL
83,2023,162,CHC,NL
82,2023,162,CIN,NL
76,2023,162,PIT,NL
71,2023,162,STL,NL
100,2023,162,LAD,NL
84,2023,162,ARI,NL
82,2023,162,SDP,NL
79,2023,162,SFG,NL
59,2023,162,COL,NL
94,2024,162,NYY,AL
91,2024,162,BAL,AL
81,2024,162,BOS,AL
80,2024,162,TBR,AL
74,2024,162,TOR,AL
92,2024,161,CLE,AL
86,2024,162,KCR,AL
86,2024,162,DET,AL
82,2024,162,MIN,AL
41,2024,162,CHW,AL
88,2024,161,HOU,AL
85,2024,162,SEA,AL
78,2024,162,TEX,AL
69,2024,162,OAK,AL
63,2024,162,LAA,AL
95,2024,162,PHI,NL
89,2024,162,ATL,NL
89,2024,162,NYM,NL
71,2024,162,WSN,NL
62,2024,162,MIA,NL
93,2024,162,MIL,NL
83,2024,162,CHC,NL
83,2024,162,STL,NL
77,2024,162,CIN,NL
76,2024,162,PIT,NL
98,2024,162,LAD,NL
93,2024,162,SDP,NL
89,2024,162,ARI,NL
80,2024,162,SFG,NL
61,2024,162,COL,NL
94,2025,162,TOR,AL
94,2025,162,NYY,AL
89,2025,162,BOS,AL
77,2025,162,TBR,AL
75,2025,162,BAL,AL
88,2025,162,CLE,AL
87,2025,162,DET,AL
82,2025,162,KCR,AL
70,2025,162,MIN,AL
60,2025,162,CHW,AL
90,2025,162,SEA,AL
87,2025,162,HOU,AL
81,2025,162,TEX,AL
76,2025,162,OAK,AL
72,2025,162,LAA,AL
96,2025,162,PHI,NL
83,2025,162,NYM,NL
79,2025,162,MIA,NL
76,2025,162,ATL,NL
66,2025,162,WSN,NL
97,2025,162,MIL,NL
92,2025,162,CHC,NL
83,2025,162,CIN,NL
78,2025,162,STL,NL
71,2025,162,PIT,NL
93,2025,162,LAD,NL
90,2025,162,SDP,NL
81,2025,162,SFG,NL
80,2025,162,ARI,NL
43,2025,162,COL,NL
