RS,BA,OBP,SLG,Year,Team,League,RA,OOBP,OSLG,W,G
614,0.239,0.3,0.385,2014,CHC,NL,707,0.318,0.376,73,162
602,0.238,0.3,0.392,2013,CHC,NL,689,0.318,0.4,66,162
853,0.277,0.349,0.446,2013,BOS,AL,656,0.316,0.393,97,162
745,0.255,0.327,0.41,2013,CLE,AL,662,0.322,0.386,92,162
706,0.27,0.323,0.418,2013,COL,NL,760,0.34,0.423,74,162
796,0.283,0.346,0.434,2013,DET,AL,624,0.308,0.373,93,162
610,0.24,0.299,0.375,2013,HOU,AL,848,0.347,0.445,51,162
513,0.231,0.293,0.335,2013,MIA,NL,646,0.319,0.384,62,162
649,0.264,0.326,0.396,2013,LAD,NL,582,0.306,0.365,92,162
733,0.264,0.329,0.414,2013,LAA,AL,737,0.328,0.408,78,162
648,0.26,0.315,0.379,2013,KCR,AL,601,0.311,0.387,86,162
650,0.242,0.307,0.376,2013,NYY,AL,671,0.318,0.413,85,162
619,0.237,0.306,0.366,2013,NYM,NL,684,0.316,0.393,74,162
614,0.242,0.312,0.38,2013,MIN,AL,788,0.336,0.434,66,162
640,0.252,0.311,0.398,2013,MIL,NL,687,0.317,0.397,74,162
698,0.249,0.327,0.391,2013,CIN,NL,589,0.298,0.384,90,162
598,0.249,0.302,0.378,2013,CHW,AL,723,0.322,0.408,63,162
767,0.254,0.327,0.419,2013,OAK,AL,625,0.299,0.379,96,162
610,0.248,0.306,0.384,2013,PHI,NL,749,0.331,0.415,73,162
634,0.245,0.313,0.396,2013,PIT,NL,577,0.309,0.341,94,162
618,0.245,0.308,0.378,2013,SDP,NL,700,0.322,0.403,76,162
629,0.26,0.32,0.381,2013,SFG,NL,691,0.32,0.39,76,162
624,0.237,0.306,0.39,2013,SEA,AL,754,0.319,0.417,71,162
656,0.251,0.313,0.398,2013,WSN,NL,626,0.305,0.379,86,162
712,0.252,0.318,0.411,2013,TOR,AL,756,0.324,0.426,74,162
730,0.262,0.323,0.412,2013,TEX,AL,636,0.313,0.387,91,163
700,0.257,0.329,0.408,2013,TBR,AL,646,0.305,0.381,92,163
783,0.269,0.332,0.401,2013,STL,NL,596,0.311,0.368,97,162
745,0.26,0.313,0.431,2013,BAL,AL,709,0.321,0.428,85,162
688,0.249,0.321,0.402,2013,ATL,NL,548,0.301,0.37,96,162
685,0.259,0.323,0.391,2013,ARI,NL,695,0.32,0.411,81,162
